Site,Site_ID_Mer,Site_ID,Year,Birds,FrogsToads,Mammals,NewtsSalamanders,Snakes,Turtles,RoadWidth,Ditch,Length,Road.Area,Bird,Frog,Mammal,Newt.Salamander,Snake,Turtle,Sum.of.Forest.Area.A..Ha..x,Sum.of.Forest.Area.B..Ha..x,Forest.Ratio,Total.Forest,Sum.of.Meadow.Area.A..Ha..x,Sum.of.Meadow.Area.B..Ha..x,Meadow.Ratio,Total.Meadow,Sum.of.Wetland.Area.A..Ha..x,Sum.of.Wetland.Area.B..Ha..x,Wetland.Ratio,Total.Wetland,Habitat.Area,Forest.Percent,Meadow.Percent,Wetland.Percent
4,4,1,2015,3,7,4,0,11,0,9.272727273,1,600.5196271,5568.454724,0.000538749,0.001257081,0.000718332,0,0.001975413,0,12.16017932,1.767398697,4.755433084,13.92757802,9.095790753,6.120019744,1.417944207,15.2158105,0,0,1,0,29.14338852,47.78983751,52.21016249,0
12,12,2,2015,0,10,0,0,0,0,9.727272727,1,600.0861251,5837.201399,0,0.00171315,0,0,0,0,1.964320964,0,2.964320964,1.964320964,3.325805637,6.214808503,0.599573174,9.540614141,0,0.215372378,0.822793095,0.215372378,11.72030748,16.75997808,81.40242188,1.837600066
12,12,2,2016,1,6,0,0,0,0,9.727272727,1,600.0861251,5837.201399,0.000171315,0.00102789,0,0,0,0,1.964320964,0,2.964320964,1.964320964,3.325805637,6.214808503,0.599573174,9.540614141,0,0.215372378,0.822793095,0.215372378,11.72030748,16.75997808,81.40242188,1.837600066
29,29,4,2015,1,39,1,0,0,2,10.27272727,1,600.091759,6164.578977,0.000162217,0.006326466,0.000162217,0,0,0.000324434,31.01665595,30.15728161,1.027581814,61.17393756,13.02576825,5.675248288,2.101160533,18.70101654,0.715956819,0.584089495,1.08324487,1.300046314,81.17500042,75.36056328,23.03790138,1.601535334
29,29,4,2016,0,73,1,21,0,0,10.27272727,1,600.091759,6164.578977,0,0.011841847,0.000162217,0.003406559,0,0,31.01665595,30.15728161,1.027581814,61.17393756,13.02576825,5.675248288,2.101160533,18.70101654,0.715956819,0.584089495,1.08324487,1.300046314,81.17500042,75.36056328,23.03790138,1.601535334
"1,56,57",1_56_57,5,2015,2,77,12,7,2,0,11.06293706,1,1847.161834,20435.03511,9.79E-05,0.003768039,0.000587227,0.000342549,9.79E-05,0,44.21341754,41.83910308,1.055424,86.05252062,6.444774657,0.297423854,5.738120687,6.742198511,0,0.163971049,0.859127897,0.163971049,92.95869018,92.5707112,7.252897495,0.176391307
"1,56,57",1_56_57,5,2018,7,161,6,8,1,0,11.06293706,1,1847.161834,20435.03511,0.000342549,0.007878626,0.000293613,0.000391485,4.89E-05,0,44.21341754,41.83910308,1.055424,86.05252062,6.444774657,0.297423854,5.738120687,6.742198511,0,0.163971049,0.859127897,0.163971049,92.95869018,92.5707112,7.252897495,0.176391307
"1,56,57",1_56_57,5,2019,2,103,10,31,9,1,11.06293706,1,1847.161834,20435.03511,9.79E-05,0.005040363,0.000489356,0.001517003,0.00044042,4.89E-05,44.21341754,41.83910308,1.055424,86.05252062,6.444774657,0.297423854,5.738120687,6.742198511,0,0.163971049,0.859127897,0.163971049,92.95869018,92.5707112,7.252897495,0.176391307
"10,11",10_11,6,2015,0,41,6,0,0,0,7.727272727,1,1035,7997.727272,0,0.005126456,0.000750213,0,0,0,11.82688083,6.58297059,1.691537726,18.40985142,1.274909823,0,2.274909823,1.274909823,0.761226172,0,1.761226172,0.761226172,20.44598741,90.04139077,6.23550136,3.723107898
"13,14",13_14,8,2015,2,28,3,0,1,4,7.954545455,1,1191,9473.863637,0.000211107,0.0029555,0.000316661,0,0.000105554,0.000422214,20.02509908,19.40243292,1.030519211,39.427532,7.294302327,8.720927046,0.853241907,16.01522937,0.198036014,0.071523044,1.118068361,0.269559058,55.71232043,70.76986149,28.74629749,0.483841017
"13,14",13_14,8,2016,3,47,10,0,1,0,7.954545455,1,1191,9473.863637,0.000316661,0.004961017,0.001055536,0,0.000105554,0,20.02509908,19.40243292,1.030519211,39.427532,7.294302327,8.720927046,0.853241907,16.01522937,0.198036014,0.071523044,1.118068361,0.269559058,55.71232043,70.76986149,28.74629749,0.483841017
"17,18",17_18,10,2015,0,13,11,0,3,0,7.090909091,1,1200,8509.090909,0,0.001527778,0.001292735,0,0.000352564,0,2.278267216,0,3.278267216,2.278267216,4.448667186,16.93430935,0.30381249,21.38297654,0,0.007007484,0.993041279,0.007007484,23.66825124,9.625836708,90.34455619,0.029607105
"17,18",17_18,10,2016,6,7,8,0,4,0,7.090909091,1,1200,8509.090909,0.000705128,0.00082265,0.000940171,0,0.000470085,0,2.278267216,0,3.278267216,2.278267216,4.448667186,16.93430935,0.30381249,21.38297654,0,0.007007484,0.993041279,0.007007484,23.66825124,9.625836708,90.34455619,0.029607105
2,2_3,11,2015,0,152,6,0,19,1,9.818181818,0,597.8945074,5870.236982,0,0.025893333,0.001022105,0,0.003236667,0.000170351,13.13591285,9.549853024,1.339915619,22.68576588,17.55790797,8.484742024,1.956606508,26.04264999,7.276543334,5.406157692,1.291966844,12.68270103,61.41111689,36.94081305,42.40706131,20.65212566
"36,37,38",21_22_36_37_38,12,2016,40,39,23,0,2,0,9.242424242,1,1356,12532.72727,0.003191644,0.003111853,0.001835195,0,0.000159582,0,3.227044695,5.750512198,0.626181328,8.977556892,0.444177351,1.210237079,0.65340382,1.65441443,0.148209447,0.557636181,0.737148675,0.705845628,11.33781695,79.18241167,14.59200159,6.225586734
"23,24,25",23_24_25_39_40_52,13,2015,0,9,2,0,1,0,8.545454545,1,1630,13929.09091,0,0.00064613,0.000143584,0,7.18E-05,0,4.456744685,1.803820487,1.946181901,6.260565171,7.068875514,4.368818435,1.502914582,11.43769395,0.147669624,1.797349976,0.410270304,1.9450196,19.64327872,31.87128412,58.22701043,9.901705452
"23,24,25",23_24_25_39_40_52,13,2016,6,11,7,0,1,0,8.545454545,1,1630,13929.09091,0.000430753,0.000789714,0.000502545,0,7.18E-05,0,4.456744685,1.803820487,1.946181901,6.260565171,7.068875514,4.368818435,1.502914582,11.43769395,0.147669624,1.797349976,0.410270304,1.9450196,19.64327872,31.87128412,58.22701043,9.901705452
